-------------------NON DUPLICATE DATA----------
1001,manish,man@xyz.com,male,9988999
1002,manisha,man1@xyz.com,female,9988999
1003,manisha,man1@xyz.in,female,9988999
1004,manish,man1@xyz.in,male,9988999
1005,manisha,man1@xyz.in,female,9988999
1006,manish,man1@xyz.in,male,9988999
1007,manisha,man1@xyz.in,male,9988999
1008,manish,man1@xyz.in,female,9988999
1009,manisha,man1@xyz.in,male,9988999
1010,manish,man1@xyz.in,female,9988999
1011,manisha,man1@xyz.in,male,9988999
1012,manish,man1@xyz.in,female,9988999
1013,manisha,man1@xyz.in,male,9988999
1014,manish,man1@xyz.in,female,9988999
1015,manisha,man1@xyz.in,male,9988999
1016,manish,man1@xyz.in,female,9988999
1017,manisha,man1@xyz.in,male,9988999
1018,manish,man1@xyz.in,female,9988999
